State,value
Alabama,33
Alaska,22
Arizona,808
Arkansas,44
California,1126
Colorado,346
Connecticut,126
Delaware,15
District of Columbia,1
Florida,479
Georgia,626
Idaho,295
Illinois,574
Indiana,402
Iowa,447
Kansas,288
Kentucky,729
Louisiana,28
Maine,61
Maryland,331
Massachusetts,354
Michigan,566
Minnesota,634
Mississippi,2
Missouri,365
Montana,85
Nebraska,320
Nevada,167
New Hampshire,125
New Jersey,128
New Mexico,53
New York,1134
North Carolina,806
North Dakota,156
Ohio,1218
Oklahoma,80
Oregon,371
Pennsylvania,726
Rhode Island,63
South Carolina,104
South Dakota,188
Tennessee,306
Texas,1366
Utah,262
Vermont,121
Virginia,330
Washington,1082
West Virginia,1
Wisconsin,320
