State,value,Code
Alabama,949,AL
Alaska,957,AK
Arizona,24766,AZ
Arkansas,234,AR
California,51441,CA
Colorado,13863,CO
Connecticut,4451,CT
Delaware,76,DE
District of Columbia,128,DC
Florida,24253,FL
Georgia,23045,GA
Hawaii,19,HI
Idaho,7867,ID
Illinois,20180,IL
Indiana,12752,IN
Iowa,6013,IA
Kansas,4973,KS
Kentucky,16355,KY
Louisiana,1603,LA
Maine,2861,ME
Maryland,11383,MD
Massachusetts,13863,MA
Michigan,29161,MI
Minnesota,18093,MN
Mississippi,77,MS
Missouri,11502,MO
Montana,332,MT
Nebraska,8892,NE
Nevada,4597,NV
New Hampshire,3663,NH
New Jersey,3728,NJ
New Mexico,1852,NM
New York,33978,NY
North Carolina,20828,NC
North Dakota,4050,ND
Ohio,23947,OH
Oklahoma,3024,OK
Oregon,8709,OR
Pennsylvania,23166,PA
Rhode Island,1747,RI
South Carolina,1778,SC
South Dakota,4225,SD
Tennessee,12372,TN
Texas,56883,TX
Utah,8700,UT
Vermont,2740,VT
Virginia,11503,VA
Washington,24030,WA
West Virginia,163,WV
Wisconsin,9361,WI
Wyoming,1,WY
