World Region,Country,target,value,Census Region,Census Division
East Asia,Burma,Alabama,1,South,East South Central
Africa,Dem. Rep. Congo,Alabama,25,South,East South Central
Latin America/Caribbean,El Salvador,Alabama,1,South,East South Central
Africa,Somalia,Alabama,3,South,East South Central
East Asia,Vietnam,Alabama,3,South,East South Central
East Asia,Burma,Arizona,58,West,Mountain
Africa,Dem. Rep. Congo,Arizona,455,West,Mountain
Africa,Somalia,Arizona,10,West,Mountain
Near East/South Asia,Afghanistan,Arizona,95,West,Mountain
Near East/South Asia,Algeria,Arizona,1,West,Mountain
Near East/South Asia,Bhutan,Arizona,18,West,Mountain
Africa,Burundi,Arizona,12,West,Mountain
Africa,Central African Republic,Arizona,6,West,Mountain
Latin America/Caribbean,Colombia,Arizona,2,West,Mountain
Africa,Eritrea,Arizona,72,West,Mountain
Africa,Ethiopia,Arizona,25,West,Mountain
Africa,Guinea,Arizona,2,West,Mountain
Near East/South Asia,Iraq,Arizona,5,West,Mountain
Africa,Ivory Coast,Arizona,1,West,Mountain
Near East/South Asia,Jordan,Arizona,1,West,Mountain
Africa,Liberia,Arizona,1,West,Mountain
Europe,Moldova,Arizona,1,West,Mountain
Near East/South Asia,Pakistan,Arizona,42,West,Mountain
Africa,Senegal,Arizona,1,West,Mountain
East Asia,Burma,California,37,West,Pacific
Africa,Dem. Rep. Congo,California,95,West,Pacific
Latin America/Caribbean,El Salvador,California,162,West,Pacific
East Asia,Vietnam,California,4,West,Pacific
Europe,Russia,California,61,West,Pacific
Europe,Ukraine,California,311,West,Pacific
Near East/South Asia,Afghanistan,California,111,West,Pacific
Near East/South Asia,Bhutan,California,3,West,Pacific
Africa,Burundi,California,1,West,Pacific
Africa,Central African Republic,California,6,West,Pacific
Africa,Eritrea,California,16,West,Pacific
Africa,Ethiopia,California,1,West,Pacific
Near East/South Asia,Iraq,California,12,West,Pacific
Africa,Ivory Coast,California,1,West,Pacific
Europe,Moldova,California,77,West,Pacific
Near East/South Asia,Pakistan,California,24,West,Pacific
Latin America/Caribbean,Honduras,California,12,West,Pacific
Europe,Armenia,California,57,West,Pacific
Europe,Azerbaijan,California,2,West,Pacific
Europe,Belarus,California,44,West,Pacific
Latin America/Caribbean,Guatemala,California,7,West,Pacific
Near East/South Asia,Iran,California,19,West,Pacific
Europe,Kazakhstan,California,4,West,Pacific
East Asia,"Korea, North",California,2,West,Pacific
Africa,Rwanda,California,9,West,Pacific
Near East/South Asia,Sri Lanka (Ceylon),California,23,West,Pacific
Near East/South Asia,Syria,California,12,West,Pacific
Africa,Uganda,California,7,West,Pacific
Europe,Uzbekistan,California,6,West,Pacific
East Asia,Burma,Colorado,99,West,Mountain
