World Region,Country,target,value
Near East/South Asia,Afghanistan,Alabama,48
East Asia,Burma,Alabama,57
Africa,Burundi,Alabama,1
Africa,Central African Republic,Alabama,5
Latin America/Caribbean,Colombia,Alabama,18
Latin America/Caribbean,Cuba,Alabama,43
Africa,Dem. Rep. Congo,Alabama,183
Latin America/Caribbean,El Salvador,Alabama,1
Africa,Eritrea,Alabama,8
Africa,Ethiopia,Alabama,16
Latin America/Caribbean,Honduras,Alabama,4
Near East/South Asia,Iran,Alabama,32
Near East/South Asia,Iraq,Alabama,263
Africa,Ivory Coast,Alabama,1
Near East/South Asia,Pakistan,Alabama,19
Africa,Rwanda,Alabama,6
Africa,Somalia,Alabama,173
Africa,Sudan,Alabama,55
Europe,Ukraine,Alabama,7
East Asia,Vietnam,Alabama,9
Near East/South Asia,Bhutan,Alaska,90
East Asia,Burma,Alaska,90
Latin America/Caribbean,Colombia,Alaska,6
Africa,Congo,Alaska,3
Latin America/Caribbean,Cuba,Alaska,9
Africa,Dem. Rep. Congo,Alaska,95
Africa,Eritrea,Alaska,29
Africa,Ethiopia,Alaska,11
Near East/South Asia,Iran,Alaska,4
Near East/South Asia,Iraq,Alaska,47
Europe,Moldova,Alaska,4
Near East/South Asia,Palestine,Alaska,7
Africa,Republic of South Sudan,Alaska,8
Europe,Russia,Alaska,23
Africa,Rwanda,Alaska,6
Africa,Somalia,Alaska,278
Africa,Sudan,Alaska,112
Europe,Ukraine,Alaska,128
Europe,Uzbekistan,Alaska,7
Near East/South Asia,Afghanistan,Arizona,650
Near East/South Asia,Algeria,Arizona,1
Near East/South Asia,Bhutan,Arizona,1610
East Asia,Burma,Arizona,2890
Africa,Burundi,Arizona,380
Africa,Cameroon,Arizona,10
Africa,Central African Republic,Arizona,187
Africa,Chad,Arizona,27
East Asia,China,Arizona,6
Latin America/Caribbean,Colombia,Arizona,66
Africa,Congo,Arizona,26
Latin America/Caribbean,Cuba,Arizona,455
Africa,Dem. Rep. Congo,Arizona,5154
Near East/South Asia,Egypt,Arizona,1
Africa,Equatorial Guinea,Arizona,2
Africa,Eritrea,Arizona,1050
Africa,Ethiopia,Arizona,308
Africa,Gabon,Arizona,1
Africa,Guinea,Arizona,6
Latin America/Caribbean,Honduras,Arizona,6
Near East/South Asia,India,Arizona,2
Near East/South Asia,Iran,Arizona,556
Near East/South Asia,Iraq,Arizona,5448
Africa,Ivory Coast,Arizona,14
Near East/South Asia,Jordan,Arizona,7
Europe,Kazakhstan,Arizona,5
East Asia,"Korea, North",Arizona,8
Near East/South Asia,Kuwait,Arizona,9
Near East/South Asia,Lebanon,Arizona,1
Africa,Liberia,Arizona,26
Europe,Moldova,Arizona,1
Near East/South Asia,Nepal,Arizona,9
Near East/South Asia,Pakistan,Arizona,112
Near East/South Asia,Palestine,Arizona,86
Africa,Republic of South Sudan,Arizona,50
Europe,Russia,Arizona,2
Africa,Rwanda,Arizona,92
Africa,Senegal,Arizona,5
Europe,Serbia,Arizona,2
Africa,Sierra Leone,Arizona,1
Africa,Somalia,Arizona,3547
Africa,South Africa,Arizona,1
Near East/South Asia,Sri Lanka (Ceylon),Arizona,9
Africa,Sudan,Arizona,530
